SST Original,RMSE Original,Corr Normalized,SSE Original,SST Normalized,MSE Normalized,MASE Normalized,MAE Normalized,Corr Original,MAE Original,SSE Normalized,h,n,R Squared Original,sMAPE Original,MASE Original,Bias Normalized,Bias Original,RMSE Normalized,sMAPE Normalized,MSE Original,R Squared Normalized
637289425181.0742,7560.885674304422,0.9902546253667218,11204730467.260757,742.9117624150975,0.01047725663229656,0.8156224644989551,0.07146083830542417,0.9792436693790538,4503.471791842258,2.053542299930126,1,196,0.9824181446850823,7.123958345207268,0.9656243646068098,-0.018434299159827812,-779.634283140634,0.10235847122879747,0.6615548002329188,57166992.17990182,0.9972358193747608
638206285120.0393,13566.477692062635,0.9722611498565867,36073666125.969696,745.9300209042293,0.029806331678707637,0.7974134660497664,0.12412767045252099,0.9334500865861378,7965.473554302589,5.842041009026697,2,196,0.9434764793656261,12.327860571359711,0.9555568609247612,-0.038719145904169645,-1630.175697392365,0.17264510325725324,1.145139068951791,184049316.96923316,0.9921681111561311
638922907910.1874,17525.19964372109,0.9532849532804362,60197994020.24724,748.6060816126169,0.05045145058943454,0.7338468369790669,0.1580494199730115,0.8896452019509716,9907.882920519529,9.888484315529169,3,196,0.9057820696754401,15.622796807410715,0.8591485255696277,-0.058385131865465914,-2375.306121030524,0.22461400354705077,1.461757589917128,307132622.55228186,0.9867908041914009
639540119431.4473,20201.06650192513,0.9373250555257505,79984285211.77951,751.0223094349535,0.0685710212884304,0.6938691429515187,0.18547669364236946,0.8539461534130751,11429.26813525538,13.439920172532359,4,196,0.8749346870015196,18.25578904027895,0.7998111481557953,-0.07721274902106584,-3049.839797377059,0.26186069061321593,1.718072582030729,408083087.8152016,0.9821044994220689
640128646053.9407,22321.211817990887,0.9233992383577028,97654353416.62874,753.3424456622301,0.0854212426455773,0.658858504012572,0.2092430122046144,0.8221214354528424,12726.15671564603,16.74256355853315,5,196,0.8474457376363065,20.517774018836604,0.7595172906909338,-0.09574035227543258,-3668.592951477339,0.2922691270825184,1.9417511748481484,498236497.023616,0.9777756269344209
640528614460.333,24555.465608448256,0.9086688205315654,118182294684.54626,754.7731206187735,0.1038694482345398,0.6363838659272655,0.23105509198692764,0.7860866068067369,14049.54260034261,20.3584118539698,6,196,0.8154925603376535,22.566421473834176,0.7367226823717369,-0.11207036610252508,-4187.764310062425,0.32228783445010734,2.1451336423828815,602970891.2476851,0.9730271106670045
641048685295.049,26591.266190280017,0.8938443356534602,138590705770.05652,756.3969003573857,0.1232892087505539,0.6437135764631171,0.25713603913669536,0.7507893278939556,15518.755128306328,24.164684915108563,7,196,0.7838062709601085,25.046344945916783,0.7367502806030469,-0.12853722389326658,-4698.217545799878,0.3511256310076977,2.388347301822392,707095437.6023291,0.9680529033055383
641475755811.3425,27948.210196461387,0.8809551584713323,153096080824.3753,757.7395061004506,0.14145777855841765,0.652714781178226,0.28240206232552845,0.7251207755471644,16939.36040409983,27.72572459744986,8,196,0.7613376975864997,27.458276308758883,0.7396014124038814,-0.14428817743257552,-5208.462825889936,0.37610873236129155,2.623946773517433,781102453.1855882,0.9634099523988995
641928753455.0044,28598.809626531944,0.8716425042260721,160306814762.70477,759.0249331816237,0.15661744058676155,0.6518778672795355,0.2995280164566905,0.7110017726480942,17562.27030708572,30.697018355005266,9,196,0.7502731979212685,29.077946910101517,0.7171058930323922,-0.159653153395771,-5750.990932017363,0.395749214259184,2.7889374589370997,817891912.0546162,0.959557299091175
642355426896.0333,28697.59103590828,0.8667436007736828,161416139327.7917,760.1691664902312,0.1676915269596931,0.6453882109588319,0.3123712729077642,0.707458700944249,17936.91270143695,32.86753928409985,10,196,0.7487121108203585,30.291428523556593,0.6886873458493559,-0.1744512445740587,-6304.729727545302,0.4095015591663762,2.9139355055854512,823551731.2642432,0.9567628618300158
642757695589.9792,28587.792685136013,0.8641029945244377,160183330559.22995,761.2175131996158,0.1766307504567926,0.6453642225737549,0.32321945084794423,0.7083721612608626,18257.505030507287,34.61962708953135,11,196,0.7507873781080137,31.311735313812395,0.6701734726013087,-0.18869553701154307,-6863.035861596179,0.42027461314810893,3.0198999123675194,817261890.6083161,0.9545207164979493
643173738490.0996,28329.76544993493,0.8627178450239776,157304819647.87207,762.2776993095465,0.18435742230399524,0.6477663684634132,0.3318921600991298,0.7126399281670674,18424.234203227414,36.13405477158307,12,196,0.7554240631510276,32.12200368532483,0.6546242715161334,-0.2024908922189897,-7427.82487134901,0.4293686321845079,3.1067844995626293,802575610.448327,0.9525972558238127
640613004474.5442,22873.64517689208,0.9104333567993104,111182934568.20522,754.450954940563,0.10822007322376669,0.6852349422780019,0.23216347736155174,0.7983229850041843,13768.40279104766,21.211134351858274,Avg.,,0.8266575331040752,22.643527995366536,0.7736102956938153,-0.11655652273789095,-4328.714577056501,0.31318030102550914,2.1596050258463433,567259870.245945,0.9720002467244315
