avg_mae_original,rc,avg_smape_original,bump_s,p,status,use_trend_exog,bump_mu,elapsed_sec,fourier_order,q
14003.809182213548,13,22.859572007677304,2.0,1,ok,True,5.0,301.32129669189453,2,1
15830.613467374254,13,27.715426905139413,2.0,1,ok,False,5.0,290.27328419685364,2,1
14114.65749627025,13,22.89561974683079,3.0,1,ok,True,5.0,283.77958512306213,2,1
15960.989950650403,13,27.793038268333216,3.0,1,ok,False,5.0,325.4234848022461,2,1
14179.194695810831,13,22.929905879403425,4.0,1,ok,True,5.0,349.734046459198,2,1
16037.999580953969,13,27.814014691113204,4.0,1,ok,False,5.0,359.8842694759369,2,1
13884.808075643776,13,22.74648427058125,2.0,1,ok,True,6.0,336.1776852607727,2,1
15698.57469729556,13,27.59763122821064,2.0,1,ok,False,6.0,306.15732884407043,2,1
14017.653883882653,13,22.807049825170633,3.0,1,ok,True,6.0,367.80223846435547,2,1
15808.345653909235,13,27.623606501357614,3.0,1,ok,False,6.0,417.99392437934875,2,1
14132.04474616979,13,22.89559533428232,4.0,1,ok,True,6.0,435.51978969573975,2,1
15911.664839695179,13,27.65811411665545,4.0,1,ok,False,6.0,378.4786674976349,2,1
13768.40279104766,13,22.643527995366536,2.0,1,ok,True,7.0,367.1453597545624,2,1
15587.277165018588,13,27.513746835368107,2.0,1,ok,False,7.0,365.76150369644165,2,1
13838.254156698458,13,22.665975589449104,3.0,1,ok,True,7.0,329.40517258644104,2,1
15587.346628233763,13,27.438582327015805,3.0,1,ok,False,7.0,307.3521521091461,2,1
13940.048262768692,13,22.76246151493821,4.0,1,ok,True,7.0,337.93195605278015,2,1
15655.754913035204,13,27.460819032879737,4.0,1,ok,False,7.0,324.089058637619,2,1
14270.468221080728,13,23.051741780689994,2.0,1,ok,True,5.0,336.7552978992462,3,1
16116.985628442782,13,27.79607757103109,2.0,1,ok,False,5.0,346.2331702709198,3,1
14299.740441761178,13,23.087676528165094,3.0,1,ok,True,5.0,328.0168640613556,3,1
16143.230566024284,13,27.849701024141847,3.0,1,ok,False,5.0,384.399050951004,3,1
14298.156808457024,13,23.07996392772063,4.0,1,ok,True,5.0,387.15672993659973,3,1
16139.21618764926,13,27.84127270090075,4.0,1,ok,False,5.0,397.1185188293457,3,1
14191.068732539876,13,22.957215230210963,2.0,1,ok,True,6.0,327.68827843666077,3,1
16040.385515737516,13,27.72549410916058,2.0,1,ok,False,6.0,346.92209005355835,3,1
14210.123946239639,13,22.970513697122232,3.0,1,ok,True,6.0,324.4917161464691,3,1
16035.72127751921,13,27.721575050239753,3.0,1,ok,False,6.0,400.9778697490692,3,1
14225.068011667992,13,22.96557285631933,4.0,1,ok,True,6.0,428.11926794052124,3,1
16038.360657367464,13,27.723407922575632,4.0,1,ok,False,6.0,412.15828824043274,3,1
14128.57512200621,13,22.87563801506604,2.0,1,ok,True,7.0,368.0449233055115,3,1
16001.9324202277,13,27.66689901280361,2.0,1,ok,False,7.0,357.4234297275543,3,1
14101.791408025316,13,22.850502275063263,3.0,1,ok,True,7.0,343.53234791755676,3,1
15930.679516722392,13,27.589244671947654,3.0,1,ok,False,7.0,367.0170052051544,3,1
14090.787112537124,13,22.818355974872105,4.0,1,ok,True,7.0,443.57174038887024,3,1
15889.517497961462,13,27.542461604050416,4.0,1,ok,False,7.0,409.4509770870209,3,1
14168.397187821765,13,22.893656974388822,2.0,1,ok,True,5.0,352.57726073265076,4,1
15960.430003360454,13,27.6284590156923,2.0,1,ok,False,5.0,417.2049558162689,4,1
14177.727569123892,13,22.91910818225503,3.0,1,ok,True,5.0,464.8354995250702,4,1
15966.995750127242,13,27.668833086242188,3.0,1,ok,False,5.0,482.4348337650299,4,1
14172.426801978783,13,22.89059684861738,4.0,1,ok,True,5.0,587.0606315135956,4,1
15968.226329208244,13,27.65557386706152,4.0,1,ok,False,5.0,525.7442865371704,4,1
14155.216850524484,13,22.867189180493426,2.0,1,ok,True,6.0,369.9238815307617,4,1
15958.733752266611,13,27.636913719233217,2.0,1,ok,False,6.0,427.6753692626953,4,1
14164.348623498503,13,22.917752343924672,3.0,1,ok,True,6.0,458.2250247001648,4,1
15950.266757430943,13,27.63931624065783,3.0,1,ok,False,6.0,488.4160466194153,4,1
14155.570089660025,13,22.904061305354173,4.0,1,ok,True,6.0,565.276035785675,4,1
15944.215066666255,13,27.633317623814992,4.0,1,ok,False,6.0,501.6255991458893,4,1
14148.037611271313,13,22.816804196168988,2.0,1,ok,True,7.0,388.93693017959595,4,1
15955.141961093615,13,27.599585318751426,2.0,1,ok,False,7.0,461.5096015930176,4,1
14145.071841752813,13,22.851603995542323,3.0,1,ok,True,7.0,486.3781373500824,4,1
15938.742235003612,13,27.59552457883105,3.0,1,ok,False,7.0,480.1268587112427,4,1
14133.287513094167,13,22.85919737854611,4.0,1,ok,True,7.0,553.9047334194183,4,1
15915.81062396696,13,27.580337915715134,4.0,1,ok,False,7.0,527.4692182540894,4,1
